과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,문제,189조,특허청의 결정 취소,강의노트 462p 소송 2013년도 기출문제에서 보기5번이 이해가 안됩니다. 옳지 않은 것을 고르는 문제인데 보기5. 특허법원은 특허심판원의 심결에 대한 취소청구가 이유 있다고 인정하더라도 그 심결에서 판단의 대상이 된 특허청의 결정을 취소할 수 없다. 보기5번이 옳다고 하는데 이해가 안됩니다. 189조 1항에 따르면 '청구가 이유 있다고 인정한 때에는 판결로써 심결 또는 결정을 취소하여야 한다' 라고 되어있는데 보기 5번에서 '특허청의 결정을 취소할 수 없다'라는 말이 왜 맞는 것인지 모르겠습니다.,안녕하세요? 임변입니다. 그 심결에서 판단의 대상이 된 특허청의 결정이라는 것은 거절결정을 의미하는 것입니다. 특허법원에서 거절결정을 취소할 수는 없습니다. 열공하세요~, ,,17.07.07
특허법,조문,186조,본안심리의 위법판단의 기준시점에 대해서 질문있습니다.,"안녕하세요 임병웅 변리사님 강의 너무 잘 듣고있습니다. 제가 본안심리의 위법판단의 기준시점에 대해서 이해한 것이 맞는지 궁금해서 질문 드리게 되었습니다. '특허권자 갑이 저촉관계의 확인대상발명을 실시하고 있는 을을 상대로 적극적 권리범위 확인심판을 청구하여 기각심결을 받고 심결취소소송을 제기하고 그후 을이 확인대상발명을 등록받은 경우 특허법원에서 기각심결을 취소하더라도 각하심결을 받기 때문에 특허법원에서 소 각하한다' 에서 기각심결을 취소하더라도 각하심결을 받는다는 부분에서의 각하심결은 기각심결 취소후 환송되고, 특허심판원에서는 환송된 시점을 기준으로 다시 판단하게 되고 이것이 적극적 권리범위확인심판의 권리대 권리간 저촉관계는 불허되기 때문에 각하심결을 받게 된다는 이야기가 맞나요? 그래서 어차피 심판원으로 돌아가면 각하심결을 받기때문에 특허법원에서 소각하를 하겠다는건가요? 친절한 답변 늘 감사드립니다~",안녕하세요? 임변입니다. 네. 맞습니다~, ,,17.07.13
특허법,조문,189조,판결로써 심결 또는 결정의 취소에서 '판결로써'의 의미,"1. 2013년 변시 기출에서는 '특허법원은 특허 심판원의 심결에 대한 취소청구가 이유 있다고 인정하더라도 그 심결에서 판단의 대상이 된 특허청의 결정을 취소할 수 없다' 가 옳은 지문인데 법원은 사법기관이고 특허청/심판원은 행정기관이기 때문에 법원이 행정권을 행사할 수 없다. ↓ 법원은 각하, 기각, 인용 세 가지 판결만을 할 수 있다 ↓ 그 판결이 특허 심판원을 기속 ↓ '특허 심판원에서'판단의 대상이 된 특허청의 결정을 취소 ↓ 다시 특허 심판원에서 특허 등록 or 거절 결정 이 과정이 맞나요? 2. 이지 특허법 p. 1232에는 특허를 무효로 하는 취지의 청구를 기각한 심결에 대한 소송에서 심결의 잘못이 발견된 경우, 법원은 특허를 무효로 하는 심결을 할 수 없고, 심결을 취소한다는 형성판결만을 할 수 있을 뿐이다. 라고 하는데 이 말뜻이 특허청의 결정을 취소한다는 말이 아닌지 .... 그럼 또 1번 지문은 틀린거 아닌가요 ㅠㅠ 너무 헷갈려요 ㅠㅠ","안녕하세요? 임변입니다. 1. 밑에 아래 똑같은 질문이 있는데, <심결에서 판단의 대상이 된 결정>이란 거절결정을 말합니다. 한편, 특허심판원에서 인용심결은 거절결정을 취소한 후 특허심결하거나 심사국으로 환송하는 것이고, 기각심결은 거절결정을 유지하는 것이지 또 거절결정하는 것은 아닙니다. 2. 심결을 취소하는 것과 심결의 기초가 된 결정을 취소하는 것은 아예 개념이 다릅니다. 열공하세요~", ,,17.07.13
특허법,조문,189조,"189조 1항에서의 ""결정""의 의미에 대해 질문 있습니다.","189조 1항을 보면 법원은 특허소송이 제기된 경우에 그 청구가 이유없을 때에는 청구기각판결을 하며, 청구가 이유있다고 인정한 때에는 판결로써 해당 심결 또는 결정을 취소하여야 한다 라고 되어 있는데요. 강의노트 462페이지의 13년도 변시기출문제의 보기 5번을 보면 5. 특허법원은 특허심판원의 심결에 대한 취소청구가 이유 있다고 인정하더라도 그 심결에서 판단의 대상이 된 특허청의 ""결정""을 취소할 수 없다. 라는 지문이 옳은 지문으로 나와있습니다. (4번 지문이 보다 명백히 틀려서 답변으로 고르는데에는 무리가 없지만...) 조문의 ""결정""과 기출문제 보기의 ""결정""이 다른 의미의 결정인가요?? 저는 둘 다 특허청(심판원)의 결정이라고 생각이 되는데요..",안녕하세요? 임변입니다. 바로 아래 답변 보면 될 것 같네요~, ,,17.07.31
특허법,조문,189조 1항,"결정, 심결, 행정처분 뜻","심결과 결정 행정처분의 의미를 잘 모르겠습니다. 강의노트 462p의 13년 기출 ""특허법원은 특허심판원의 심결에 대한 취소청구가 이유있다고 인정하더라도 그 심결에서 판단의 대상이 된 특허청의 결정을 취소할 수 있다"" 위 지문이 '법원이 자판하여 구체적 행정처분의 판결을 내리는 것은 법원이 행정권을 행사하는 것이 되어 권력분립의 원칙에 반하므로 허용되지않는다' 라는 이유로 옳은 지문이라는 것은 이해가 되었습니다. 그렇다면 특허법원은 심판원의 심결에 대한 취소청구가 이유있다면 심판원의 심결을 취소 환송하여 심판원에서 인용심결로써 거절결정 취소 후 특허심결, 환송하거나 기각심결을 할텐데, 여기서 특허법원이 취소한 특허심판원의 심결은 행정부인 심판원이 한 심결인데 행정처분이 아닌건가요? 그리고 특허법원의 심결을 취소한 판결은 행정처분이 아닌건가요? 심판원의 특허심결은 행정처분인가요? 인용심결, 기각심결과 특허심결의 성질이 다른건가요?","임변입니다. 특허법원은 행정처분의 위법성 여부만을 검토하여 위법한 경우 위법한 행정처분(심결)의 취소만을 할 수 있을 뿐, 행정처분(심결)의 기초된 거절결정까지 취소할 수 없다는 의미로 이해하면 됩니다. 다시 말해, 특허여부결정은 특허청의 고유권한이기 때문에 법원이 이를 할 수 없다는 의미입니다. 열공하세요~", ,,17.08.17
특허법,조문,186조,[186조],"거절결정의 확정은, 거불심 청구시 기각심결이 났을 때 확정이 되고, 기각심결의 확정은, 특허법원or대법원에서의 심결취소소송의 기각판결 확정시 확정이 되나요? 즉, 거절결정의 확정은 심결취소송이 제기 되더라도, 일단 기각심결이 나오면 확정되는 것인가요?","확정이란 더 이상 불복할 수 없는 상태에 이른 것을 말하고, 불복할 수 있는 기간이 지난 다음에 확정되는 것입니다. 예를 들어, 거절결정불복심판에서는 기각심결등본이 송달된 날로부터 30일이 지난 후에 확정됩니다. 이건 기본서(심사의 종료 파트)에 있는 내용이고, 꼭 알아야 하는 개념이기 때문에 복습을 반드시 할 것을 추천합니다. 열공하세요~", ,,17.09.26
특허법,조문,189조,새로운 증거,"(1) 취소된 심결이 행하여진 심판절차에서 채택, 조사된 증거는 해당 법률의 규정이 정하는 바에 따라서 거절이유를 통지하고 이에 대한 의견서를 제출할 기회를 부여하고서 적법하게 채택, 조사된 증거를 뜻하는 것으로 보아야 한다. 그렇지 않고 이와 달리 어떤 증거가 특허거절결정 또는 그에 대한 불복심판의 심결에 단순히 기재되어 있다는 점만을 들어서 그 증거를 취소된 심결이 행하여진 심판절차에서 채택, 조사된 것으로 본다면 그러한 증거는 나중에 심결을 취소하는 판결이 확정된 경우에 특허심판원의 재심리 절차에서조차 이를 전혀 사용할 수 없게 된다. (2) 그런데 이러한 해석은 어떤 증거가 실제로는 독립된 증명력을 가지는 새로운 공지의 증거임에도 불구하고, 심판절차에서 이를 단순히 주지관용기술에 해당하거나 선행기술의 기재를 보충하는 정도의 증명력을 가지는 증거에 불과한 것으로 오인하고서 특허거절결정 또는 심결 시에 사전에 의견서 제출 기회등을 부여하지 아니한 절차상의 잘못을 저질렀다는 사정만으로, 등록요건 등의 실체판단에 결정적인 자료를 전혀 사용할 수 없게 배제함으로써, 결국 심판 및 소송의 적정을 해치는 해석이 되어 부당하므로 받아들일 수 없다. (1)은 절차상 잘못이 있고 심결에 단순히 기재 되어있는 증거는 취소된 심결이 행하여진 심판절차에서 채택, 조사된 증거로 볼 수 없으므로 새로운 증거로 사용할 수 있다는 뜻인것 같은데 (2)가 잘 이해가 되지 않아 문의 드립니다. (2)에 따르면 단순히 기재 되어있는 증거라 하여 취소된 심결이 행하여진 심판절차에서 채택, 조사된 증거로 볼 수 없다고 해석하면 그 증거를 실체 판단 시 사용할 수 없게 되니 그러한 증거라도 취소된 심결이 행하여진 심판절차에서 채택, 조사된 증거로 보아 새로운 증거로 사용할 수 없다는 것이 타당하다는 의미인가요?","문단을 잘못 끊어서 읽은 것 같습니다. ""(1)----------------보아야 한다.""가 원칙이고, ""그렇지 않고 이와 달리...(2)...........받아들일 수 없다""가 원칙을 적용한 CASE라고 생각하면 됩니다. 다시 읽어 보면, 동일한 말을 하고 있다는 것을 알 수 있을 것입니다. 열공하시네요~", ,,17.10.04
특허법,조문,186조,심결취소소송의 심리범위에 관해 질문드립니다.,권리범위확인심판의 심결취소소송의 심리범위는 무제한설을 따릅니다. 그렇다면 대법원에서 권리범위확인 심판의 심결이 취소되어 환송되는 경우 특허법원에서 다시 심리하게 되는 건가요? 필기노트 457쪽에서는 '구체적으로 심결이 위법하지 않으면 기각판결되어 인용심결이 확정되고 심결이 위법하면 취소환송되고 특허심판원에서 심결각하하게 된다.' 라는 서술이 있는데 이떄 기각판결을 내린 법원은 특허법원을 말하는 것인지 궁금합니다. 즐거운 명절 보내시길 바랍니다.,1. 네. 특허법원의 심리범위가 무제한설을 취하고 있기 때문입니다. 2. 네. 열공하세요~, ,,17.10.05
특허법,조문,191조,보상금 또는 대가에 관한 소송의 피고,"제191조(보상금 또는 대가에 관한 소송에서의 피고) 제190조에 따른 소송에서는 다음 각 호의 어느 하나에 해당하는 자를 피고로 하여야 한다. 1. 제41조제3항 및 제4항에 따른 보상금에 대해서는 보상금을 지급하여야 하는 중앙행정기관의 장 또는 출원인 2. 제106조제3항 및 제106조의2제3항에 따른 보상금에 대해서는 보상금을 지급하여야 하는 중앙행정기관의 장, 특허권자, 전용실시권자 또는 통상실시권자 3. 제110조제2항제2호 및 제138조제4항에 따른 대가에 대해서는 통상실시권자·전용실시권자·특허권자·실용신안권자 또는 디자인권자 1호 : 정부가 국방상 필요한 경우 (외국출원금지, 비밀명령, 불특허, 특받권 수용) 처분을 내린 뒤 보상금을 지급하는데, 정부가 지급할 보상금에 대해 출원인이 불복하는 경우, 출원인은 중앙행정기관의 장을 피고로 행정법원에 불복소송을 하는것이고, 그럼 반대로, 정부가 지급해야할 보상금액이 과하다고 여겨 이에 대해 불만을 가진경우, 정부는 출원인을 피고로 (행정법원)에 소송을 거는 경우를 말하는 것이죠? (질문1) (∵돈 줄자가 정부이면 원고든 피고든 행정법원에 소 제기 해야함) -------------------------------------------------------------------- 3호에서의 재정,통실허 심판에 의해 강제실시권이 주어진 경우이고, 여기서 말하는 피고는 통실허 (선출원 특, 전, 실, 디 ← 후출원 특, 전, 통) 크로스라이센스 (통상실시권 허락한 선출원 특,전,실,디 → 통상실시권 허락받은 후출원 특,전) 서로 간에 원·피고가 되어 대가에 대해 불복할 수 있는 것이죠? 재정의 경우, (특허권자 ↔ 재정 강제실시권 얻은 통상실시권자) (∵실용신안권법과 디자인보호법에는 재정제도 없으므로) 서로 간에 원·피고가 되어 대가에 대해 불복하게 되는 건가요? (질문2) ※실용신안권법에는 재정제도가 있으므로 글 수정합니다. ---------------------------------------------------------------------- 그리고 재정이 되면 특허권자에게만 대가를 지급하나요? (질문3) -------------------------------------------------------------------- 위와 다른 내용의 질문인데, 연관된 질문일수도 있어서 같이 질문드립니다. 카페규정에 맞지 않으면 말씀 주세요. 입법부, 사법부, 행정부(즉 정부)는 법인격이 없으므로 특허에 관한 권리의 주체가 될 수 없다고 하는데, 41조②에 의하면 : 정부는 특받권을 수용할 수 있다. 106조①에 의하면 : 정부는 특허권을 수용할 수 있다. 106조의2①에 의하면 : 정부 스스로 실시할 수 있다....라고 해서 권리의 주체가 될 수도 있다고 여겨지는데, 제가 잘못 해석하고 있는건가요? (질문4) 저작자 표시컨텐츠변경비영리","1. 네 2.3. 전용실시권자도 통상실시권을 허락해 줄 주체가 될 수 있습니다. 4. 국가는 법인으로 의제되고, 국가기관이 법인이 될 수 없는 것입니다. 열공하세요~", ,,17.10.15
특허법,문제,186조,객관식 질문있습니다.,"845쪽 문제입니다. 문제 : 다음 중 특허법원에의 소 제기가 인정되지 아니하는 경우는? 5번보기 : 정정심결에 대한 불복의 소송 정정심결이라고 하면 정정심판에 대한 인용심결을 의미하지 않나요? 이 경우에는 불복이 불가능한 것으로 알고 있는데, 혹시 정정심결이라고 하면 정정심판에 대한 심결이라고 이해하여햐 하는 건가요?","정정심결이란 정정심판의 인용심결을 말하고, 정정심판을 결정계 심판이라 피청구인이 없기 때문에, 불복이 허용되지 않습니다. 열공하세요~", ,,17.10.18
