과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,조문,135조,[135조] 권리범위확인심판에서 진보성에 대하여 판단가능하다는 심결취소소송 판례 질문입니다.,,안녕하세요? 임변입니다. 대법원 2014. 3. 20. 선고 2012후4162 전원합의체 판결 【권리범위확인(실)】에서 권리범위확인심판에서 진보성이 부정된다는 이유로 권리범위를 부정하여서는 안된다고 함으로써 기존의 잘못된 판결들을 전부 바로 잡았습니다. 열공하세요~, ,,17.05.13
특허법,문제,163조,[163조]일사부재리에서 확정심결과 확정판결에 대하여,"2016년도 기출문제 중 일사부재리에 관하여 '확정 심결과 확정 판결 사이에는 일사부재리 원칙이 적용되지 않는다' 라는 내용이 있었습니다. 그런데 구체적으로 ""확정 판결""이라는 것이 어떤 것인지 궁금합니다. 확정 심결이란 어떤 심결에 경우 불복 가능한 기간인 등본을 받은 날로부터 30일을 경과하여 법원에 소를 제기하지 않거나 상위 법원에서 그 심결, 결정이 확정, 지지되어 더 이상 통상의 불복으로 취소할 수 없는 상태가 확정으로 알고 있습니다(이상의 내용은 책 p.1082 각주111에서 그대로 발췌하였습니다). 그렇다면 확정 판결이란 1.심판이 아닌 침해 소송 등의 민형사상 소송에 의해 확정된 판결을 말하는 것인가요? 아니면 2.심결에 불복한다는 청구를 기각 또는 인용하여 취소환송한다는 특허법원의 판결이 확정된 경우 및 상고를 기각 또는 인용하여 파기환송한다는 대법원의 판결이 확정된 경우를 따로 말하는 것인가요? 아니면 아예 다른 내용인가요? 심결의 기속력은 대세적 효력이 있어 민사소송의 기판력과 구별한다는 점에서 우선 1번으로 이해했습니다.",안녕하세요? 임변입니다. 둘 다의 내용을 포함하는 것으로 이해하면 될 것 같습니다. 열공하세요~, ,,17.05.23
특허법,조문,139조,"[139조,140조2항,163조] 공동심판청구, 요지변경의 예외,일사부재리 관련 질문입니다.","안녕하십니까 변리사님 질문사항이 있어 글 올립니다. 1. 139조 1항 공동심판 청구할 수 있는 자에 대한 규정의 취지가 2인이상의 이해관계인들이 심판청구시 심판경제 등의 측면에서 동시에 청구할 수 있도록 한 것으로 알고 있습니다. 이 규정에서 135조 1항의 적극적 권리범위확인심판도 포함되어 있는데, 이 심판의 청구인은 특허권자 또는 전용실시권자인데 포함되어 있는 이유가 특허권자와 전용실시권자가 동시에 청구 하는 경우에 적용을 위한 것인가요? 2인이상의 특허권자가 청구할 경우 당연히 공유자일 것이기 때문에 139조 3항이 적용될 것이라 생각하였습니다. 135조 1항의 포함취지와 구체적인 예가 궁금합니다. 2. 140조 2항 1호에서 요지변경으로 보지않는 것 중에 특허권자를 바로잡기위한보정부분에서 법조문상에는 당사자계심판에 한정된다는 문구가 없는데 이지특허법 설명부분에는 당사자계심판중 특허권자의 보정이라고 기술되어 있습니다. 당사자계로 볼 때와 아닐 때의 차이가 정정심판의 청구인인 특허권자가 포함되느냐 제외되느냐의 차이 인 것 같은데 정정심판은 포함되지 않는다고 이해하면 될까요? 조문만 보았을 때는 정정심판의 특허권자도 포함되는거 아닌가라는 생각이 들었습니다. 만약 포함되지 않는다면 그 이유가 궁금합니다. 3. 일사부재리 적용요건 중 동일사실 및 동일증거 부분에서 예를들어 신규성위반(공연실시를 증거로 하여)를 이유로 무효심판청구하여 심결이 확정되었는데 그 후 동일한 특허권에 대해서 신규성위반(반포된 간행물을 증거로 하여)으로 무효심판을 다시 청구하는 경우 신규성 위반의 동일사실을 기초로 다시 심판을 청구한 것이지만 동일증거가 아니기 때문에 일사부재리 원칙에 위반되지 않는 것으로 이해를 하였는데 맞는 것인가요? 즉, 공지 공연실시 반포된 간행물의 게재등의 각각의 신규성 상실사유가 달라지면 이를 증명하기위한 증거도 당연히 달라질 것이므로 다른증거인 것으로 이해를 하였는데 이게 맞는지 궁금합니다. 긴 글 읽어주셔서 감사드립니다. 좋은하루되십시오","안녕하세요? 임변입니다. 1. 특허권이 공유일 경우에는 법 제139조제3항에 의하기 때문에, 결국 남는 것은 특허권자와 전용실시권자가 심판을 청구하는 경우나 효력범위를 달리하는 전용실시권자가 심판을 청구하는 경우입니다. 2. 정정심판도 포함됩니다. 이지특허법을 살펴보니 제목이 잘못 기술되어 있네요. <당사자계>라는 단어를 삭제해야 옳은 표협입니다. 3. 동일증거인지 여부는 중요부가 동일한 지 여부에 의해 판단되기 때문에, 중요부가 같다면 동일증거일 수도 있습니다. 열공하세요~", ,,17.06.02
특허법,조문,132조의17,"[132조의17,134조,135조] 거절결정불복심판 심리관련, 존속기간연장등록무효심판,권리범위확인심판 확인대상발명 관련 질문입니다.,","안녕하십니까 변리사님, 거절결정불복심판 심리순서와 관련하여 질문이 있어 글올립니다. 거절결정불복심판에서 심리진행과정에 대해서 전 아래와 같이 이해를 하였는데 맞는 것인지 궁금합니다. 1.원거절결정 타당성을 심리하여 정당하면 바로 기각심결을 하고 부당하면 다른 거절이유를 심리하여 거절이유가 발견되면 심리 과정 중 거절이유 통지를 하고 그 이후로 거절이유가 전혀 발견되지 않았을 때 인용심결을 하는 것인지가 궁금합니다. (즉, 심리의 순서가 원거절결정의 부당함 해소여부->해소 시 159조에 의해 다른 거절이유 심리하여 인용/기각 여부 결정이 맞는지 궁금합니다.) 만약 1번이 맞다면 (1)인용심결 이후 환송하는 경우엔 심사국에서 다시 심사를 통해 기속되지않은 거절이유에 의해 다시 거절결정을 할 수 있는데, 인용심결이 내려지고 자판을 하는 경우라면 무조건 특허심결이 내려지게 되는 것인가요? 즉, 인용심결을 내리기 전, 원거절결정의 부당함을 심리한 뒤 부당한 경우 다른 거절이유가 발견여부를 심리하기 때문에 인용심결을 내리면서 자판하게되면 무조건 특허결정의 결과가 나오는 것인지 궁금합니다. (2)원결정이 부당한데 환송하는 경우에는 원결정의 부당함이외에 다른 거절이유를 심리할 필요 없이 원결정의 부당함을 이유로 인용심결만 내리고 바로 환송하는 것인가요? 2.존속기간연장등록무효심판의 시기적요건에서 특허권이 무효심결확정에 의해 소멸한 경우는 청구할 수 없다고 책에 나와있는데, 여기서 말하는 무효심결확정이라는게 특허무효심판에의한 소급소멸, 연장등록무효심판에의한 소급소멸 둘 다를 의미하는 것인지 무효심판에 의한 소급소멸만 의미하는지가 궁금합니다.(특허권 자체가 소급소멸되면 연장등록부분까지 아예 다 소멸하는 것인가요?) 3.권리범위확인심판에서 확인대상발명이 불특정된경우 심판장이 보정명령 후에도 특정되지 않은 경우 심결각하가 된다고 설명해 주셨습니다. 이 경우는 흠을 보정할 수 있는 사유에 해당하기 때문에 답변서 제출기회도 주어야 한다는 말로 이해를 하였는데, 여기서 심판장이 보정명령을 하는 것은 피청구인에게 답변서 제출기회를 주는 것과 상관없이 따로 청구인에게 부여되는 것인가요? 즉, 심결각하를 하기전에도 그 흠이 보정될 수 있는 경우일 땐 답변서 제출기회와 별개로 항상 청구인에게 심판장이 보정명령을 하는 것인지, 그리고 절차 흐름이 피청구인에게 답변서 제출기회를 주면서 별개로 청구인에겐 보정명령을 하는건지 피청구인에게 답변서제출기회를 준 후 청구인에게 답변서 부본송달하면서 보정명령을 하는 것인지 궁금합니다. 거절결정불복심판의 경우 심리 과정의 전체적인 흐름이 좀 많이 헷갈려서 확실한 개념이 안잡힙니다ㅠ 좋은 하루 되십시오!!","안녕하세요? 임변입니다. 1. 맞습니다. (1) 자판은 법 제170조제1항에서 제66조를 준용하여 특허결정을 했다는 것은 의미합니다. (2) 바로 환송할 수도 있고, 다른 거절이유를 심리할 수도 있는 것입니다. 법 제159조의 직권심리는 재량이지 의무는 아닙니다. 2. 문의하신 것처럼 특허권 자체가 소멸되면 연장등록 자체가 없어지기 때문에 둘 다를 의미하는 것입니다. 3. 보정명령의 시기가 정해진 것은 아닙니다. 법 제147조제3항에 의해 언제든지 당사자를 심문할 수 있고, 불명확하다고 판단되면 보정명령을 할 수 있습니다. 열공하세요~", ,,17.06.03
특허법,조문,163조,[163조]전부무효심판과 일부무효심판의 일사부재리,"이지특허법16판 1085p 12번째줄의 서술에 따르면 동일심판이란 청구취지의 대상으로 되어 있는 권리가 같고 그 종류가 동일한 심판을 말한다. 한편, ... 전부무효심판과 일부무효심판의 경우에는 동일심판으로 취급된다. 라고 하는데 무효심판의 경우 청구항을 다르게 하면 청구취지가 다르다고 하셨습니다. 그렇다면 청구항 중 일부를 대상으로 한 일부무효심판과 전부를 대상으로 한 전부무효심판은 그 취지도 다르고 취지의 대상인 권리도 다르다고 할 것인데 어째서 동일심판으로 취급되나요? 혹 제가 곡해한 내용이 있다면 지적해주시면 감사하겠습니다.","안녕하세요? 임변입니다. 동일사실 및 동일증거를 전제로 했을 때, 선기각심결확정된 심판이 1~3항이 무효되어야 한다이고, 후심판이 1~2이 무효되어야 한다이면 후출원은 일사부재리에 의해 전부 각하되고, 선기각심결확정된 심판이 1~2항이 무효되어야 한다이고, 후심판이 1~3이 무효되어야 한다이면 후출원의 1~2는 일사부재리에 의해 각하 3은 본안심리를 진행하게 됩니다. 열공하세요~", ,,17.06.07
특허법,조문,139조,139조 3항 및 140조 질문드립니다.,"안녕하세요 임병웅변리사님.. 궁금한게 있어서 글을 올립니다. 139조 3항에서는 특허권 또는 특받권이 공유이면 공유자 모두가 공동으로 청구인이 되어야 한다고 나와있으며, 140조 1항 2호에서는 특허권자의 기재를 바로잡기 위하여 보정(특허권자를 추가하는 것을 포함하되, 청구인이 특허권자인 경우에는 추가되는 특허권자의 동의가 있는 경우로 한정한다)하는 경우, 로 나와있습니다. 이와 같은 내용이 위의 그림에 왼쪽에 해당하는 것으로 알고 있습니다. 여기서 궁금한 점이 을이 동의를 한다면 문제 없이 청구서는 보정이 되고 139조 3항의 요건도 맞아 문제가 없다 생각이드는데. 만약 을이 동의를 하지 않아 을을 추가하는 보정을 할 수 없게 되었다면 139조 3항에 요건을 만족시키지 못하므로 이 심판청구서는 각하가 되는 것인가요??",안녕하세요? 임변입니다. 각하되는 것이 맞습니다~, ,,17.06.23
특허법,조문,136조,[136조]정정심판의 요건 중 1항 2호와 3호에 대해서,"정정심판 또는 정정청구의 요건 중 2호와 3호의 구별이 모호한 것 같아서 질문드립니다. 이지특허법 1118쪽 11줄에 실린 판례 2008후1081에서 잘못 기재된 사항을 정정하는 경우란 ""청구범위에 관한 기재 자체가 명료하지 아니한 경우 그 의미를 명확하게 하는 것 ... 등을 포함한다.""라고 서술되어 있는데 명료하지 아니한 기재를 명확하게 하는 경우는 3호의 요건을 단어만 바꿔서 표현한 것 같아서 혼란이 옵니다. 마치 판례 표현을 보면 2호가 3호를 포섭하는 것처럼 받아들여지는데 2호와 3호는 각각 적용되는 요건이 달라서 구별의 실익이 있음은 분명한고 그냥 판례 자체의 문구 그대로 받아들여야 할까요? 아니면 그것을 제외한 기재상의 불비 해소 등만을 2호의 예시로 보아야할까요?","안녕하세요? 임변입니다. 해당 내용을 살펴보니, 2008후1081, 2014후2184 판결 모두 <분명하지 아니한 기재를 명확히 하는 경우>에 대한 설명입니다. 즉, 3호에 들어가야 하는데 2호에 잘못 들어가서 설명되고 있습니다. 예리하시네요~ 열공하세요~~", ,,17.06.26
특허법,조문,154조 8항,중복심판청구의 금지에 관해 질문이있습니다.(법 154조 8항),특허심판이 계속 중인 사건에 대하여 당사자는 다시 심판을 청구하지 못한다.(법 154조 8항) ->일사부재리의 원칙 부분에 유사한 제도라고 해서 '중복심판 청구의 금지'에 관해 간략히 설명되어있습니다. 일사부재리의 원칙은 적용시점이 '심판 청구시'라고 되어있는데. 중복심판 청구의 금지의 적용시점도 '심판 청구시'가 맞을까요?,안녕하세요? 임변입니다. 심결시를 기준으로 합니다. 기본서를 정독해 보세요~, ,,17.07.10
특허법,조문,133조,"133조 1항 2호(특허무효심판),134조(특허권의 존속기간 연장등록무효심판)에 관해 질문이 있습니다.","1.제133조(특허의 무효심판) ①이해관계인(제2호 본문의 경우에는 특허를 받을 수 있는 권리를 가진 자만 해당한다) 또는 심사관은 특허가 다음 각 호의 어느 하나에 해당하는 경우에는 무효심판을 청구할 수 있다. 이 경우 청구범위의 청구항이 둘 이상인 경우에는 청구항마다 청구할 수 있다. 1.생략 2.제33조제 1항 본문에 따른 특허를 받을 수 있는 권리를 가지지 아니하거나 제44조를 위반한 경우, 다만 제99조의2제2항에 따라 이전등록된 경우에는 제외한다. -->조문상으로 보면 주체적 요건 위반(33조1항 본문,44조)를 위반한 경우 '특허를 받을 수 있는 권리를 가진 자' 또는 '심사관'이 무효심판을 청구할 수 있는거같은데,책에는 '특허를 받을 수 있는 권리를 가진 자'만이 무효심판을 청구할 수 있는거 같아서 어느게 맞는건지 의문이 들어서 질문을 드리게 됬습니다.(책 뒷부분에 부연으로 이해관계인의 범위를 제한한다는 표현상으로는 심사관도 청구할 수있다는 말씀같기도합니다만) *책p1107(인용) 3)다만, 특허무효심판과 관련하여,특허를 받을 수 있는 권리를 가지지 아니하여 법 제 33조 제 1항 본문을 위반한 경우나 특허를 받을 수 있는 권리가 공유인데 공동출원하지 아니하여 법 제44조를 위반한 경우에는 특허를 받을 수 있는 권리를 가진 자만이 청구할 수 있다. 이는 사적 이유이기 때문에 이해관계인의 범위를 특허를 받을 수 있는 권리를 가진 자로 제한하고 있다 @질문을 요약하면 주체적 요건 위반으로 특허무효 심판을 청구할때 청구인은 '특허를 받을 수 있는 권리를 가진자'또는 '심사관'이 청구 할수 있나요? 2.134조(특허권의 존속기간 연장등록무효심판) 존속기간 연장등록 무효심판에서 주체적 요건(90조3항 위반,92조의3제3항 위반,해당 특허권자가 아닌 자의 출원)위반으로 무효심판 청구시 청구인을 따로 ""특허를 받을 수 있는 권리를 가진 자""로 제한하고 있지아니한데, 이경우 그냥 이해관계인 또는 심사관이 무효심판을 청구가능한게 맞는지요? 감사합니다.",안녕하세요? 임변입니다. 1. 심사관 또는 특허를 받을 수 있는 권리를 가진 이해관계인이 무효심판을 청구할 수 있습니다. 2. 네. 맞습니다. 열공하세요~, ,,17.07.12
특허법,조문,136조,[136조] 정정심판과 특허취소신청과의 관계,"안녕하세요 임병웅 변리사님 정정심판과 특허취소신청에 대한 관계에서 궁금한 점이 생겨서 글을 쓰게 되었습니다. 먼저 정정심판과 특허취소신청이 특허법원에 계속중인 경우, 정정심판에 대한 인용심결이 확정된 경우 특허취소신청의 경우 제한설이기 때문에 정정 후 명도로 무효사유를 판단할 수 없으니까 취소환송한다는 부분에서, 이 취소 환송은 특허법원에서 인용심판을 내려서 취소 환송하는 것과는 다른 취소 환송인가요? 그러니까 청구인이 특허취소신청의 소에서 인용심판을 받게 된건가요? 그리고 정정심판과 특허취소신청이 대법원에 계속중인 경우, 특허법원의 판결이 정정전 명세서, 도면을 기초로 한 것이므로 법령 위반이어서 파기 환송을 하게 되고, 특허법원에서는 다시 심판원으로 돌려보낸다는 내용에서, 특허법원에서 판단하지 않고 바로 심판원으로 돌려보내는 이유도 특허법원에서 취소 환송하는 것처럼 제한설이기 때문인가요? 강의 너무 잘 듣고있습니다. 늘 감사드립니다~","안녕하세요? 임변입니다. 1. 취소신청의 대상이 바뀌었기 때문에 인용판결(취소환송)을 받게 됩니다. 2. 특허법원에서 심리범위가 제한설이기 때문에, 1번과 같이 인용판결(취소환송)을 하게 됩니다. 열공하세요~", ,,17.07.14
